ID_or_Date,Species,grp1,grp2,Sex,Pregnant,Bone,Geography,bodyL,bodyM,boneM,Source,
,Balaenoptera_physalus,Others_wet,Fin,M,N,wet,U,18.9,41.8,12.48,Bjarnason and Lingaas (1954) in  Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,F,Y,wet,U,20.8,53.8,9.65,Zenkovich (1937) in Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,19.9,48.6,8.49,Zenkovich (1937) in Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,F,Y,wet,U,19.8,48.07,11.01,Zenkovich (1952) in Lockyer (1976),
,Balaenoptera_physalus,Others_wet,Fin,F,N,wet,U,21.7,59.39,8.91,Crile (1941) in Lockyer (1976),
8/4/1949,Balaenoptera_borealis,Others_wet,Sei,M,N,wet,U,11.5824,8.527,1.269,Omura (1950),
8/16/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,11.5824,8.583,1.205,Omura (1950),
8/27/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,11.5824,10.609,1.347,Omura (1950),
9/27/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,11.5824,8.892,1.395,Omura (1950),
8/7/1949,Balaenoptera_borealis,Others_wet,Sei,M,N,wet,U,11.8872,10.253,1.327,Omura (1950),
8/24/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,11.8872,9.902,1.196,Omura (1950),
8/10/1949,Balaenoptera_borealis,Others_wet,Sei,M,N,wet,U,12.4968,11.377,1.64,Omura (1950),
10/14/1949,Balaenoptera_borealis,Others_wet,Sei,M,N,wet,U,12.4968,11.284,1.568,Omura (1950),
9/20/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,12.8016,12.942,1.593,Omura (1950),
10/9/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,13.1064,12.217,1.588,Omura (1950),
8/16/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,13.4112,13.316,1.672,Omura (1950),
10/5/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,13.4112,12.339,1.619,Omura (1950),
9/14/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,13.716,13.796,1.709,Omura (1950),
9/19/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,14.3256,15.762,1.915,Omura (1950),
10/4/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,14.3256,16.358,1.895,Omura (1950),
7/24/1949,Balaenoptera_borealis,Others_wet,Sei,F,N,wet,U,14.6304,15.557,1.741,Omura (1950),
4/13/1948,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,11.2776,8.39,1.14,Omura (1950),
4/16/1948,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.4968,14.12,1.92,Omura (1950),
4/13/1948,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.8016,11.98,1.72,Omura (1950),
4/15/1948,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.8016,11.77,1.72,Omura (1950),
4/15/1948,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.8016,13.87,1.9,Omura (1950),
4/14/1948,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.1064,13.91,1.85,Omura (1950),
4/16/1948,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.1064,15.43,1.85,Omura (1950),
8-Jun-50,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.192,11.949,1.836,Fujino (1955),
5/29/1950,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.4968,11.752,1.867,Fujino (1955),
8-Jun-50,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.4968,11.641,1.956,Fujino (1955),
9-Jun-50,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.4968,11.927,1.935,Fujino (1955),
9-Jun-50,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.4968,13.611,2.225,Fujino (1955),
6/1/1950,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,12.8016,13.76,2.244,Fujino (1955),
5/28/1950,Balaenoptera_edeni,Others_wet,Bryde,M,N,wet,U,13.4112,13.46,2.262,Fujino (1955),
5/15/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.192,13.784,2.516,Fujino (1955),
5/27/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.192,9.989,1.858,Fujino (1955),
5/26/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.4968,11.315,1.832,Fujino (1955),
5/23/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.8016,11.893,1.959,Fujino (1955),
6/4/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.8016,12.775,2.187,Fujino (1955),
6/2/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.8016,14.85,2.367,Fujino (1955),
5/16/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.8016,13.908,2.134,Fujino (1955),
5/22/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,12.8016,12.458,1.983,Fujino (1955),
5/24/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.1064,12.792,2.02,Fujino (1955),
6/5/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.4112,15.471,2.283,Fujino (1955),
5/16/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.4112,12.55,2.214,Fujino (1955),
5/30/1950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.716,16.151,2.693,Fujino (1955),
5/31/4950,Balaenoptera_edeni,Others_wet,Bryde,F,N,wet,U,13.716,15.959,2.567,Fujino (1955),
8/22/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,10.0584,9.851,1.094,Omura (1950),
8/26/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,10.668,11.931,1.203,Omura (1950),
8/22/1949,Physeter_macrocephalus,Others_wet,SpermJ,F,N,wet,NP,10.9728,11.962,1.196,Omura (1950),
8/11/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.5824,14.277,1.351,Omura (1950),
9/19/1949,Physeter_macrocephalus,Others_wet,SpermJ,F,N,wet,NP,11.5824,13.838,1.432,Omura (1950),
9/4/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.8872,16.114,1.469,Omura (1950),
9/26/1949,Physeter_macrocephalus,Others_wet,SpermJ,M,N,wet,NP,11.8872,16.814,1.476,Omura (1950),
